"Code";"Name";"total;total;2021;[person]";"total;tertiary;2021;[person]";"total;secondary and post-secondary - total;2021;[person]";"total;basic vocational/sectoral;2021;[person]";"total;lower secondary, primary, primary not completed and without school education;2021;[person]";"males;total;2021;[person]";"males;tertiary;2021;[person]";"males;secondary and post-secondary - total;2021;[person]";"males;basic vocational/sectoral;2021;[person]";"males;lower secondary, primary, primary not completed and without school education;2021;[person]";"females;total;2021;[person]";"females;tertiary;2021;[person]";"females;secondary and post-secondary - total;2021;[person]";"females;basic vocational/sectoral;2021;[person]";"females;lower secondary, primary, primary not completed and without school education;2021;[person]";
1610000;"Powiat prudnicki";22483;5712;8290;6988;1306;12391;2156;4415;4852;831;10092;3556;3875;2136;475;
1611000;"Powiat strzelecki";31029;7797;10816;10239;1970;17253;3077;5779;7042;1222;13776;4720;5037;3197;748;
1661000;"City with powiat status Opole";60273;30175;19683;7551;2170;30777;12876;10774;5315;1369;29496;17299;8909;2236;801;
1801000;"Powiat bieszczadzki";8348;2383;3231;2021;626;4500;954;1711;1355;421;3848;1429;1520;666;205;
1802000;"Powiat brzozowski";25028;7043;9607;6771;1452;13927;2622;5458;4841;899;11101;4421;4149;1930;553;
1803000;"Powiat dębicki";57911;15805;23918;14499;3253;32690;6360;13546;10274;2223;25221;9445;10372;4225;1030;
1804000;"Powiat jarosławski";48440;14866;18595;11773;2818;26871;5935;10511;8197;1983;21569;8931;8084;3576;835;
1805000;"Powiat jasielski";43957;12828;17060;11806;2068;24692;5362;9307;8504;1382;19265;7466;7753;3302;686;
1806000;"Powiat kolbuszowski";25482;6331;10149;7416;1399;14188;2388;5564;5070;1041;11294;3943;4585;2346;358;
1807000;"Powiat krośnieński";46073;13838;18270;11640;2042;25905;5622;10310;8377;1393;20168;8216;7960;3263;649;
1808000;"Powiat leżajski";26723;7727;10168;7497;1169;14851;3051;5686;5237;769;11872;4676;4482;2260;400;
1809000;"Powiat lubaczowski";22272;6193;8343;6108;1510;12380;2439;4588;4208;1067;9892;3754;3755;1900;443;
1810000;"Powiat łańcucki";35213;12089;14183;7347;1378;19123;4785;7982;5183;1022;16090;7304;6201;2164;356;
1811000;"Powiat mielecki";60778;17006;23598;17087;2643;33427;6741;12891;11695;1816;27351;10265;10707;5392;827;
1812000;"Powiat niżański";25553;7046;9748;6930;1656;14414;2862;5391;4891;1156;11139;4184;4357;2039;500;
1813000;"Powiat przemyski";29602;8126;12258;7339;1667;16407;3102;6890;5170;1104;13195;5024;5368;2169;563;
