"Code";"Name";"total;total;2021;[person]";"total;15-24;2021;[person]";"total;25-34;2021;[person]";"total;35-44;2021;[person]";"total;45-54;2021;[person]";"total;55-64;2021;[person]";"total;65 and more;2021;[person]";"males;total;2021;[person]";"males;15-24;2021;[person]";"males;25-34;2021;[person]";"males;35-44;2021;[person]";"males;45-54;2021;[person]";"males;55-64;2021;[person]";"males;65 and more;2021;[person]";"females;total;2021;[person]";"females;15-24;2021;[person]";"females;25-34;2021;[person]";"females;35-44;2021;[person]";"females;45-54;2021;[person]";"females;55-64;2021;[person]";"females;65 and more;2021;[person]";
1261000;"City with powiat status Kraków";407738;25834;126054;113045;72960;50523;19322;202605;12702;61628;56627;35365;25756;10527;205133;13132;64426;56418;37595;24767;8795;
1262000;"City with powiat status Nowy Sącz";34599;2120;7719;9718;7618;5928;1496;18241;1208;4117;5142;3736;3175;863;16358;912;3602;4576;3882;2753;633;
1263000;"City with powiat status Tarnów";43474;2538;9359;11998;10051;7568;1960;23031;1451;4973;6358;5013;4086;1150;20443;1087;4386;5640;5038;3482;810;
1401000;"Powiat białobrzeski";15870;1699;3770;4173;3515;2340;373;8794;1013;2073;2245;1762;1458;243;7076;686;1697;1928;1753;882;130;
1402000;"Powiat ciechanowski";39878;3022;8967;10441;8773;7264;1411;21820;1762;4955;5672;4378;4168;885;18058;1260;4012;4769;4395;3096;526;
1403000;"Powiat garwoliński";50491;4512;11969;13539;11264;7841;1366;27428;2537;6609;7273;5680;4505;824;23063;1975;5360;6266;5584;3336;542;
1404000;"Powiat gostyniński";18592;1300;4061;5014;4592;3058;567;10142;743;2262;2693;2353;1759;332;8450;557;1799;2321;2239;1299;235;
1405000;"Powiat grodziski";49804;3243;10050;15242;11735;7300;2234;25420;1671;5054;7517;5892;3952;1334;24384;1572;4996;7725;5843;3348;900;
1406000;"Powiat grójecki";49208;3902;10521;13530;11231;8138;1886;26340;2200;5566;7034;5689;4660;1191;22868;1702;4955;6496;5542;3478;695;
1407000;"Powiat kozienicki";25539;2117;5595;6840;6057;4185;745;14144;1193;3210;3682;3076;2526;457;11395;924;2385;3158;2981;1659;288;
1408000;"Powiat legionowski";62390;3778;11923;20401;15070;8340;2878;31906;2022;6003;10011;7685;4461;1724;30484;1756;5920;10390;7385;3879;1154;
1409000;"Powiat lipski";13891;914;3096;3620;3350;2575;336;7750;563;1780;1955;1690;1553;209;6141;351;1316;1665;1660;1022;127;
1410000;"Powiat łosicki";13388;986;3221;3395;3066;2367;353;7474;609;1837;1845;1573;1405;205;5914;377;1384;1550;1493;962;148;
1411000;"Powiat makowski";18562;1636;4146;4678;4197;3334;571;10325;914;2317;2526;2158;2032;378;8237;722;1829;2152;2039;1302;193;
1412000;"Powiat miński";76687;5697;16939;22619;17541;11360;2531;40206;3159;8829;11668;8781;6307;1462;36481;2538;8110;10951;8760;5053;1069;
1413000;"Powiat mławski";31962;2947;7264;8315;7301;5328;807;17736;1773;4093;4474;3740;3127;529;14226;1174;3171;3841;3561;2201;278;
1414000;"Powiat nowodworski";39036;3047;8404;11066;8503;6393;1623;20638;1643;4405;5704;4300;3564;1022;18398;1404;3999;5362;4203;2829;601;
1415000;"Powiat ostrołęcki";39391;3381;9379;10369;9445;6195;622;22408;2047;5469;5632;4934;3909;417;16983;1334;3910;4737;4511;2286;205;
1416000;"Powiat ostrowski";31585;2815;6931;8158;7350;5408;923;17369;1558;3863;4466;3710;3202;570;14216;1257;3068;3692;3640;2206;353;
