,code,powiat,year,sex,education,count
474,1004000,Powiat łęczycki,2021,total,tertiary,5323
475,1005000,Powiat łowicki,2021,total,tertiary,10247
476,1006000,Powiat łódzki wschodni,2021,total,tertiary,12602
477,1007000,Powiat opoczyński,2021,total,tertiary,8910
478,1008000,Powiat pabianicki,2021,total,tertiary,19241
479,1009000,Powiat pajęczański,2021,total,tertiary,5562
480,1010000,Powiat piotrkowski,2021,total,tertiary,10521
481,1011000,Powiat poddębicki,2021,total,tertiary,4481
482,1012000,Powiat radomszczański,2021,total,tertiary,13123
483,1013000,Powiat rawski,2021,total,tertiary,5951
484,1014000,Powiat sieradzki,2021,total,tertiary,14779
485,1015000,Powiat skierniewicki,2021,total,tertiary,4905
486,1016000,Powiat tomaszowski,2021,total,tertiary,14274
487,1017000,Powiat wieluński,2021,total,tertiary,8907
488,1018000,Powiat wieruszowski,2021,total,tertiary,4574
489,1019000,Powiat zduńskowolski,2021,total,tertiary,8129
490,1020000,Powiat zgierski,2021,total,tertiary,26747
491,1021000,Powiat brzeziński,2021,total,tertiary,3958
492,1061000,City with powiat status Łódź,2021,total,tertiary,137174
493,1062000,City with powiat status Piotrków Trybunalski,2021,total,tertiary,11435
494,1063000,City with powiat status Skierniewice,2021,total,tertiary,9357
495,1201000,Powiat bocheński,2021,total,tertiary,14017
496,1202000,Powiat brzeski,2021,total,tertiary,10299
497,1203000,Powiat chrzanowski,2021,total,tertiary,16697
498,1204000,Powiat dąbrowski,2021,total,tertiary,5512
499,1205000,Powiat gorlicki,2021,total,tertiary,11416
500,1206000,Powiat krakowski,2021,total,tertiary,53854
501,1207000,Powiat limanowski,2021,total,tertiary,14266
502,1208000,Powiat miechowski,2021,total,tertiary,6125
503,1209000,Powiat myślenicki,2021,total,tertiary,17490
504,1210000,Powiat nowosądecki,2021,total,tertiary,23471
505,1211000,Powiat nowotarski,2021,total,tertiary,18634
506,1212000,Powiat olkuski,2021,total,tertiary,17166
507,1213000,Powiat oświęcimski,2021,total,tertiary,20421
508,1214000,Powiat proszowicki,2021,total,tertiary,4371
509,1215000,Powiat suski,2021,total,tertiary,9067
510,1216000,Powiat tarnowski,2021,total,tertiary,21716
511,1217000,Powiat tatrzański,2021,total,tertiary,7350
512,1218000,Powiat wadowicki,2021,total,tertiary,18249
513,1219000,Powiat wielicki,2021,total,tertiary,25735
514,1261000,City with powiat status Kraków,2021,total,tertiary,238999
515,1262000,City with powiat status Nowy Sącz,2021,total,tertiary,14031
516,1263000,City with powiat status Tarnów,2021,total,tertiary,18137
517,1401000,Powiat białobrzeski,2021,total,tertiary,3549
