,code,powiat,year,sex,education,count
443,611000,Powiat łukowski,2021,total,tertiary,15056
444,612000,Powiat opolski,2021,total,tertiary,8100
445,613000,Powiat parczewski,2021,total,tertiary,5219
446,614000,Powiat puławski,2021,total,tertiary,22591
447,615000,Powiat radzyński,2021,total,tertiary,8163
448,616000,Powiat rycki,2021,total,tertiary,8991
449,617000,Powiat świdnicki,2021,total,tertiary,15328
450,618000,Powiat tomaszowski,2021,total,tertiary,12474
451,619000,Powiat włodawski,2021,total,tertiary,5782
452,620000,Powiat zamojski,2021,total,tertiary,15798
453,661000,City with powiat status Biała Podlaska,2021,total,tertiary,14502
454,662000,City with powiat status Chełm,2021,total,tertiary,14746
455,663000,City with powiat status Lublin,2021,total,tertiary,114470
456,664000,City with powiat status Zamość,2021,total,tertiary,15533
457,801000,Powiat gorzowski,2021,total,tertiary,12507
458,802000,Powiat krośnieński,2021,total,tertiary,7204
459,803000,Powiat międzyrzecki,2021,total,tertiary,8302
460,804000,Powiat nowosolski,2021,total,tertiary,11914
461,805000,Powiat słubicki,2021,total,tertiary,6908
462,806000,Powiat strzelecko-drezdenecki,2021,total,tertiary,5984
463,807000,Powiat sulęciński,2021,total,tertiary,4566
464,808000,Powiat świebodziński,2021,total,tertiary,8186
465,809000,Powiat zielonogórski,2021,total,tertiary,11985
466,810000,Powiat żagański,2021,total,tertiary,10414
467,811000,Powiat żarski,2021,total,tertiary,12877
468,812000,Powiat wschowski,2021,total,tertiary,4791
469,861000,City with powiat status Gorzów Wielkopolski,2021,total,tertiary,26205
470,862000,City with powiat status Zielona Góra,2021,total,tertiary,39961
471,1001000,Powiat bełchatowski,2021,total,tertiary,20540
472,1002000,Powiat kutnowski,2021,total,tertiary,14732
473,1003000,Powiat łaski,2021,total,tertiary,8173
474,1004000,Powiat łęczycki,2021,total,tertiary,6504
475,1005000,Powiat łowicki,2021,total,tertiary,12644
476,1006000,Powiat łódzki wschodni,2021,total,tertiary,15478
477,1007000,Powiat opoczyński,2021,total,tertiary,11010
478,1008000,Powiat pabianicki,2021,total,tertiary,24650
479,1009000,Powiat pajęczański,2021,total,tertiary,7000
480,1010000,Powiat piotrkowski,2021,total,tertiary,12906
481,1011000,Powiat poddębicki,2021,total,tertiary,5524
482,1012000,Powiat radomszczański,2021,total,tertiary,16988
483,1013000,Powiat rawski,2021,total,tertiary,7270
484,1014000,Powiat sieradzki,2021,total,tertiary,18638
485,1015000,Powiat skierniewicki,2021,total,tertiary,5724
486,1016000,Powiat tomaszowski,2021,total,tertiary,18386
487,1017000,Powiat wieluński,2021,total,tertiary,11451
488,1018000,Powiat wieruszowski,2021,total,tertiary,5640
489,1019000,Powiat zduńskowolski,2021,total,tertiary,10526
490,1020000,Powiat zgierski,2021,total,tertiary,33894
491,1021000,Powiat brzeziński,2021,total,tertiary,4845
492,1061000,City with powiat status Łódź,2021,total,tertiary,183496
493,1062000,City with powiat status Piotrków Trybunalski,2021,total,tertiary,15402
494,1063000,City with powiat status Skierniewice,2021,total,tertiary,12096
495,1201000,Powiat bocheński,2021,total,tertiary,17610
496,1202000,Powiat brzeski,2021,total,tertiary,13381
497,1203000,Powiat chrzanowski,2021,total,tertiary,21918
498,1204000,Powiat dąbrowski,2021,total,tertiary,7919
499,1205000,Powiat gorlicki,2021,total,tertiary,15670
500,1206000,Powiat krakowski,2021,total,tertiary,64891
501,1207000,Powiat limanowski,2021,total,tertiary,18282
502,1208000,Powiat miechowski,2021,total,tertiary,7605
503,1209000,Powiat myślenicki,2021,total,tertiary,21502
504,1210000,Powiat nowosądecki,2021,total,tertiary,30351
505,1211000,Powiat nowotarski,2021,total,tertiary,26397
506,1212000,Powiat olkuski,2021,total,tertiary,22007
507,1213000,Powiat oświęcimski,2021,total,tertiary,26487
508,1214000,Powiat proszowicki,2021,total,tertiary,5400
509,1215000,Powiat suski,2021,total,tertiary,11746
510,1216000,Powiat tarnowski,2021,total,tertiary,28500
511,1217000,Powiat tatrzański,2021,total,tertiary,10726
512,1218000,Powiat wadowicki,2021,total,tertiary,23069
513,1219000,Powiat wielicki,2021,total,tertiary,30912
514,1261000,City with powiat status Kraków,2021,total,tertiary,302993
515,1262000,City with powiat status Nowy Sącz,2021,total,tertiary,19495
516,1263000,City with powiat status Tarnów,2021,total,tertiary,26101
517,1401000,Powiat białobrzeski,2021,total,tertiary,4306
