,code,powiat,type,year,value
246,2213000,Powiat starogardzki,grand total,2002,2013.14
247,2214000,Powiat tczewski,grand total,2002,1983.91
248,2215000,Powiat wejherowski,grand total,2002,1859.51
249,2216000,Powiat sztumski,grand total,2002,1676.72
250,2261000,City with powiat status Gdańsk,grand total,2002,2491.47
251,2262000,City with powiat status Gdynia,grand total,2002,2423.41
252,2263000,City with powiat status Słupsk,grand total,2002,1977.03
253,2264000,City with powiat status Sopot,grand total,2002,2496.1
254,2401000,Powiat będziński,grand total,2002,1970.8
255,2402000,Powiat bielski,grand total,2002,1882.08
256,2403000,Powiat cieszyński,grand total,2002,1863.71
257,2404000,Powiat częstochowski,grand total,2002,1645.75
258,2405000,Powiat gliwicki,grand total,2002,1854.22
259,2406000,Powiat kłobucki,grand total,2002,1559.79
260,2407000,Powiat lubliniecki,grand total,2002,1804.28
261,2408000,Powiat mikołowski,grand total,2002,2158.84
262,2409000,Powiat myszkowski,grand total,2002,1587.13
263,2410000,Powiat pszczyński,grand total,2002,1848.17
264,2411000,Powiat raciborski,grand total,2002,1819.99
265,2412000,Powiat rybnicki,grand total,2002,1976.41
266,2413000,Powiat tarnogórski,grand total,2002,1816.78
267,2414000,Powiat bieruńsko-lędziński,grand total,2002,1909.2
268,2415000,Powiat wodzisławski,grand total,2002,1688.32
269,2416000,Powiat zawierciański,grand total,2002,1859.17
270,2417000,Powiat żywiecki,grand total,2002,2264.56
271,2461000,City with powiat status Bielsko-Biała,grand total,2002,2123.64
272,2462000,City with powiat status Bytom,grand total,2002,2278.72
273,2463000,City with powiat status Chorzów,grand total,2002,1897.22
274,2464000,City with powiat status Częstochowa,grand total,2002,1965.93
275,2465000,City with powiat status Dąbrowa Górnicza,grand total,2002,2348.19
276,2466000,City with powiat status Gliwice,grand total,2002,2611.36
277,2467000,City with powiat status Jastrzębie-Zdrój,grand total,2002,3063.62
278,2468000,City with powiat status Jaworzno,grand total,2002,2372.25
279,2469000,City with powiat status Katowice,grand total,2002,2707.36
280,2470000,City with powiat status Mysłowice,grand total,2002,1797.41
281,2471000,City with powiat status Piekary Śląskie,grand total,2002,2488.83
282,2472000,City with powiat status Ruda Śląska,grand total,2002,2755.98
283,2473000,City with powiat status Rybnik,grand total,2002,2814.53
284,2474000,City with powiat status Siemianowice Śląskie,grand total,2002,1946.03
285,2475000,City with powiat status Sosnowiec,grand total,2002,2007.92
286,2476000,City with powiat status Świętochłowice,grand total,2002,1922.12
287,2477000,City with powiat status Tychy,grand total,2002,2893.06
288,2478000,City with powiat status Zabrze,grand total,2002,2080.43
289,2479000,City with powiat status Żory,grand total,2002,1719.84
290,2601000,Powiat buski,grand total,2002,1760.13
291,2602000,Powiat jędrzejowski,grand total,2002,1963.38
292,2603000,Powiat kazimierski,grand total,2002,1678.81
293,2604000,Powiat kielecki,grand total,2002,1905.11
294,2605000,Powiat konecki,grand total,2002,1719.75
295,2606000,Powiat opatowski,grand total,2002,2150.44
296,2607000,Powiat ostrowiecki,grand total,2002,1771.96
297,2608000,Powiat pińczowski,grand total,2002,2446.79
298,2609000,Powiat sandomierski,grand total,2002,1942.91
299,2610000,Powiat skarżyski,grand total,2002,1851.74
300,2611000,Powiat starachowicki,grand total,2002,1683.31
301,2612000,Powiat staszowski,grand total,2002,2132.22
302,2613000,Powiat włoszczowski,grand total,2002,1923.14
303,2661000,City with powiat status Kielce,grand total,2002,2154.27
304,2801000,Powiat bartoszycki,grand total,2002,1772.12
305,2802000,Powiat braniewski,grand total,2002,1750.16
306,2803000,Powiat działdowski,grand total,2002,1655.36
307,2804000,Powiat elbląski,grand total,2002,1688.2
308,2805000,Powiat ełcki,grand total,2002,1819.73
309,2806000,Powiat giżycki,grand total,2002,1710.37
310,2807000,Powiat iławski,grand total,2002,1619.78
311,2808000,Powiat kętrzyński,grand total,2002,1752.77
312,2809000,Powiat lidzbarski,grand total,2002,1567.8
313,2810000,Powiat mrągowski,grand total,2002,1740.63
314,2811000,Powiat nidzicki,grand total,2002,1561.11
315,2812000,Powiat nowomiejski,grand total,2002,1600.25
316,2813000,Powiat olecki,grand total,2002,1777.1
317,2814000,Powiat olsztyński,grand total,2002,1759.76
318,2815000,Powiat ostródzki,grand total,2002,1759.46
319,2816000,Powiat piski,grand total,2002,1914.06
320,2817000,Powiat szczycieński,grand total,2002,1793.92
321,2818000,Powiat gołdapski,grand total,2002,1634.51
322,2819000,Powiat węgorzewski,grand total,2002,1648.29
323,2861000,City with powiat status Elbląg,grand total,2002,2281.22
324,2862000,City with powiat status Olsztyn,grand total,2002,2271.09
325,3001000,Powiat chodzieski,grand total,2002,1648.8
326,3002000,Powiat czarnkowsko-trzcianecki,grand total,2002,1800.35
327,3003000,Powiat gnieźnieński,grand total,2002,1801.21
328,3004000,Powiat gostyński,grand total,2002,1815.27
329,3005000,Powiat grodziski,grand total,2002,1710.93
330,3006000,Powiat jarociński,grand total,2002,1599.86
331,3007000,Powiat kaliski,grand total,2002,1655.12
332,3008000,Powiat kępiński,grand total,2002,1356.2
333,3009000,Powiat kolski,grand total,2002,2118.24
334,3010000,Powiat koniński,grand total,2002,2512.13
335,3011000,Powiat kościański,grand total,2002,1777.97
336,3012000,Powiat krotoszyński,grand total,2002,1671.9
337,3013000,Powiat leszczyński,grand total,2002,1850.48
338,3014000,Powiat międzychodzki,grand total,2002,1674.37
339,3015000,Powiat nowotomyski,grand total,2002,1796.01
340,3016000,Powiat obornicki,grand total,2002,1858.27
341,3017000,Powiat ostrowski,grand total,2002,1736.06
342,3018000,Powiat ostrzeszowski,grand total,2002,1783.28
343,3019000,Powiat pilski,grand total,2002,1962.59
344,3020000,Powiat pleszewski,grand total,2002,1633.17
345,3021000,Powiat poznański,grand total,2002,2037.6
346,3022000,Powiat rawicki,grand total,2002,1512.11
347,3023000,Powiat słupecki,grand total,2002,1706.16
348,3024000,Powiat szamotulski,grand total,2002,2031.21
349,3025000,Powiat średzki,grand total,2002,1919.96
350,3026000,Powiat śremski,grand total,2002,1821.54
351,3027000,Powiat turecki,grand total,2002,1933.88
352,3028000,Powiat wągrowiecki,grand total,2002,1728.48
353,3029000,Powiat wolsztyński,grand total,2002,1532.21
354,3030000,Powiat wrzesiński,grand total,2002,1660.85
355,3031000,Powiat złotowski,grand total,2002,1643.82
356,3061000,City with powiat status Kalisz,grand total,2002,2035.05
357,3062000,City with powiat status Konin,grand total,2002,2344.32
358,3063000,City with powiat status Leszno,grand total,2002,1969.7
359,3064000,City with powiat status Poznań,grand total,2002,2395.19
360,3201000,Powiat białogardzki,grand total,2002,1749.98
361,3202000,Powiat choszczeński,grand total,2002,1728.19
362,3203000,Powiat drawski,grand total,2002,1773.67
363,3204000,Powiat goleniowski,grand total,2002,1946.85
364,3205000,Powiat gryficki,grand total,2002,1830.51
365,3206000,Powiat gryfiński,grand total,2002,2334.93
366,3207000,Powiat kamieński,grand total,2002,1848.97
367,3208000,Powiat kołobrzeski,grand total,2002,1785.58
368,3209000,Powiat koszaliński,grand total,2002,1823.84
369,3210000,Powiat myśliborski,grand total,2002,1715.13
370,3211000,Powiat policki,grand total,2002,2442.9
371,3212000,Powiat pyrzycki,grand total,2002,1834.18
372,3213000,Powiat sławieński,grand total,2002,1700.5
373,3214000,Powiat stargardzki,grand total,2002,1862.91
374,3215000,Powiat szczecinecki,grand total,2002,2026.02
375,3216000,Powiat świdwiński,grand total,2002,1610.46
376,3217000,Powiat wałecki,grand total,2002,1711.76
377,3218000,Powiat łobeski,grand total,2002,1697.4
378,3261000,City with powiat status Koszalin,grand total,2002,2078.06
379,3262000,City with powiat status Szczecin,grand total,2002,2282.01
380,3263000,City with powiat status Świnoujście,grand total,2002,2005.51
381,201000,Powiat bolesławiecki,grand total,2003,1951.43
382,202000,Powiat dzierżoniowski,grand total,2003,1785.0
383,203000,Powiat głogowski,grand total,2003,1970.64
384,204000,Powiat górowski,grand total,2003,1743.33
385,205000,Powiat jaworski,grand total,2003,1766.69
386,206000,Powiat karkonoski,grand total,2003,1754.74
387,207000,Powiat kamiennogórski,grand total,2003,1789.33
388,208000,Powiat kłodzki,grand total,2003,1839.79
389,209000,Powiat legnicki,grand total,2003,1783.42
390,210000,Powiat lubański,grand total,2003,1736.02
391,211000,Powiat lubiński,grand total,2003,3611.52
392,212000,Powiat lwówecki,grand total,2003,1814.34
393,213000,Powiat milicki,grand total,2003,1733.47
394,214000,Powiat oleśnicki,grand total,2003,1759.35
395,215000,Powiat oławski,grand total,2003,2049.68
396,216000,Powiat polkowicki,grand total,2003,2116.76
397,217000,Powiat strzeliński,grand total,2003,1993.21
398,218000,Powiat średzki,grand total,2003,2010.33
399,219000,Powiat świdnicki,grand total,2003,1992.17
400,220000,Powiat trzebnicki,grand total,2003,1916.09
401,221000,Powiat wałbrzyski,grand total,2003,2067.74
402,222000,Powiat wołowski,grand total,2003,1899.98
403,223000,Powiat wrocławski,grand total,2003,2221.17
404,224000,Powiat ząbkowicki,grand total,2003,1904.57
405,225000,Powiat zgorzelecki,grand total,2003,2695.69
406,226000,Powiat złotoryjski,grand total,2003,1893.55
407,261000,City with powiat status Jelenia Góra,grand total,2003,2175.01
408,262000,City with powiat status Legnica,grand total,2003,1958.43
409,263000,City with powiat status Wałbrzych to 2002,grand total,2003,
410,264000,City with powiat status Wrocław,grand total,2003,2367.3
411,265000,City with powiat status Wałbrzych since 2013,grand total,2003,
412,401000,Powiat aleksandrowski,grand total,2003,1718.03
413,402000,Powiat brodnicki,grand total,2003,1773.08
414,403000,Powiat bydgoski,grand total,2003,1784.25
415,404000,Powiat chełmiński,grand total,2003,1950.95
416,405000,Powiat golubsko-dobrzyński,grand total,2003,1728.81
417,406000,Powiat grudziądzki,grand total,2003,1699.67
418,407000,Powiat inowrocławski,grand total,2003,1913.68
419,408000,Powiat lipnowski,grand total,2003,1710.96
420,409000,Powiat mogileński,grand total,2003,1727.76
421,410000,Powiat nakielski,grand total,2003,1784.94
422,411000,Powiat radziejowski,grand total,2003,1774.56
423,412000,Powiat rypiński,grand total,2003,1753.19
424,413000,Powiat sępoleński,grand total,2003,1606.38
425,414000,Powiat świecki,grand total,2003,2191.37
426,415000,Powiat toruński,grand total,2003,1750.13
427,416000,Powiat tucholski,grand total,2003,1693.92
428,417000,Powiat wąbrzeski,grand total,2003,1809.06
429,418000,Powiat włocławski,grand total,2003,1616.4
430,419000,Powiat żniński,grand total,2003,1703.08
