STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10R_2GDP(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,PPS_EU27_2020_HAB,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",PL61,Kujawsko-pomorskie,2018,,17800,,,,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,PPS_EU27_2020_HAB,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",PL61,Kujawsko-pomorskie,2019,,18600,,,,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,PPS_EU27_2020_HAB,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",PL61,Kujawsko-pomorskie,2020,,19700,,b,break in time series,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,PPS_EU27_2020_HAB,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",PL61,Kujawsko-pomorskie,2021,,21500,,,,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,PPS_EU27_2020_HAB,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",PL61,Kujawsko-pomorskie,2022,,23400,,b,break in time series,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,PPS_EU27_2020_HAB,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",PL61,Kujawsko-pomorskie,2023,,23700,,p,provisional,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,PPS_EU27_2020_HAB,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",PL62,Warmińsko-mazurskie,2014,,13300,,,,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,PPS_EU27_2020_HAB,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",PL62,Warmińsko-mazurskie,2015,,13900,,,,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,PPS_EU27_2020_HAB,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",PL62,Warmińsko-mazurskie,2016,,14200,,,,,
dataflow,ESTAT:NAMA_10R_2GDP(1.0),Gross domestic product (GDP) at current market prices by NUTS 2 region,A,Annual,PPS_EU27_2020_HAB,"Purchasing power standard (PPS, EU27 from 2020), per inhabitant",PL62,Warmińsko-mazurskie,2017,,14700,,,,,
