county_code,county_name,ukr_citizens,total_ukr,ukr_citizens_share
2464,Powiat m. Częstochowa,367,53048,0.006918262705474287
2465,Powiat m. Dąbrowa Górnicza,64,53048,0.0012064545317448348
2466,Powiat m. Gliwice,281,53048,0.005297089428442166
2467,Powiat m. Jastrzębie-Zdrój,19,53048,0.00035816618911174784
2468,Powiat m. Jaworzno,36,53048,0.0006786306741064696
2469,Powiat m. Katowice,452,53048,0.008520585130447896
2470,Powiat m. Mysłowice,44,53048,0.0008294374905745739
2471,Powiat m. Piekary Śląskie,24,53048,0.00045242044940431306
2472,Powiat m. Ruda Śląska,49,53048,0.0009236917508671392
2473,Powiat m. Rybnik,78,53048,0.0014703664605640176
2474,Powiat m. Siemianowice Śląskie,37,53048,0.0006974815261649827
2475,Powiat m. Sosnowiec,182,53048,0.003430855074649374
2476,Powiat m. Świętochłowice,21,53048,0.00039586789322877393
2477,Powiat m. Tychy,146,53048,0.0027522244005429046
2478,Powiat m. Zabrze,130,53048,0.002450610767606696
2479,Powiat m. Żory,57,53048,0.0010744985673352436
2601,Powiat buski,48,53048,0.0009048408988086261
2602,Powiat jędrzejowski,21,53048,0.00039586789322877393
2603,Powiat kazimierski,9,53048,0.0001696576685266174
2604,Powiat kielecki,67,53048,0.001263007087920374
2605,Powiat konecki,23,53048,0.0004335695973458
2606,Powiat opatowski,26,53048,0.0004901221535213391
2607,Powiat ostrowiecki,26,53048,0.0004901221535213391
2608,Powiat pińczowski,19,53048,0.00035816618911174784
2609,Powiat sandomierski,75,53048,0.0014138139043884783
2610,Powiat skarżyski,23,53048,0.0004335695973458
2611,Powiat starachowicki,26,53048,0.0004901221535213391
2612,Powiat staszowski,11,53048,0.00020735937264364349
2613,Powiat włoszczowski,19,53048,0.00035816618911174784
2661,Powiat m. Kielce,193,53048,0.0036382144472930176
2801,Powiat bartoszycki,35,53048,0.0006597798220479566
2802,Powiat braniewski,12,53048,0.00022621022470215653
2803,Powiat działdowski,12,53048,0.00022621022470215653
2804,Powiat elbląski,12,53048,0.00022621022470215653
2805,Powiat ełcki,40,53048,0.0007540340823405218
2806,Powiat giżycki,15,53048,0.00028276278087769566
2807,Powiat iławski,20,53048,0.0003770170411702609
2808,Powiat kętrzyński,11,53048,0.00020735937264364349
2809,Powiat lidzbarski,9,53048,0.0001696576685266174
2810,Powiat mrągowski,25,53048,0.0004712713014628261
2811,Powiat nidzicki,12,53048,0.00022621022470215653
2812,Powiat nowomiejski,11,53048,0.00020735937264364349
2813,Powiat olecki,40,53048,0.0007540340823405218
2814,Powiat olsztyński,33,53048,0.0006220781179309305
