,county_code,county_kts,county_name,type,year,wage,NC_population,YR_population
216,1864.0,10061813664000.0,Powiat m. Tarnobrzeg,grand total,2002,1860.38,40019,44224.0
217,2001.0,10062013901000.0,Powiat augustowski,grand total,2002,2349.22,48739,52913.0
218,2002.0,10062013702000.0,Powiat białostocki,grand total,2002,1708.4,131163,126626.0
219,2003.0,10062013803000.0,Powiat bielski,grand total,2002,1785.87,45796,59008.0
220,2004.0,10062013904000.0,Powiat grajewski,grand total,2002,2079.11,39447,44628.0
221,2005.0,10062013805000.0,Powiat hajnowski,grand total,2002,1689.69,36073,49736.0
222,2006.0,10062013806000.0,Powiat kolneński,grand total,2002,1742.78,31490,35005.0
223,2007.0,10062013807000.0,Powiat łomżyński,grand total,2002,1881.91,42751,45984.0
224,2008.0,10062013908000.0,Powiat moniecki,grand total,2002,1784.58,33723,40216.0
225,2009.0,10062013909000.0,Powiat sejneński,grand total,2002,1778.57,16844,19900.0
226,2010.0,10062013810000.0,Powiat siemiatycki,grand total,2002,1778.46,37208,47076.0
227,2011.0,10062013711000.0,Powiat sokólski,grand total,2002,1769.61,55778,69402.0
228,2012.0,10062013912000.0,Powiat suwalski,grand total,2002,1771.43,29839,30968.0
229,2013.0,10062013813000.0,Powiat wysokomazowiecki,grand total,2002,1806.9,47162,55225.0
230,2014.0,10062013814000.0,Powiat zambrowski,grand total,2002,1742.3,36566,39728.0
231,2061.0,10062013761000.0,Powiat m. Białystok,grand total,2002,2087.45,255358,266920.0
232,2062.0,10062013862000.0,Powiat m. Łomża,grand total,2002,1895.81,52982,55412.0
233,2063.0,10062013963000.0,Powiat m. Suwałki,grand total,2002,1908.06,59449,58709.0
234,2201.0,10042214101000.0,Powiat bytowski,grand total,2002,1699.35,65028,62735.0
235,2202.0,10042217202000.0,Powiat chojnicki,grand total,2002,1689.15,81204,77056.0
236,2203.0,10042217203000.0,Powiat człuchowski,grand total,2002,1749.69,46684,48903.0
237,2204.0,10042214004000.0,Powiat gdański,grand total,2002,1916.3,104588,68019.0
238,2205.0,10042214005000.0,Powiat kartuski,grand total,2002,1752.12,118078,84083.0
239,2206.0,10042217206000.0,Powiat kościerski,grand total,2002,1810.53,60245,55090.0
240,2207.0,10042214207000.0,Powiat kwidzyński,grand total,2002,2223.92,69490,68295.0
241,2208.0,10042214108000.0,Powiat lęborski,grand total,2002,1779.6,54757,54284.0
242,2209.0,10042214209000.0,Powiat malborski,grand total,2002,1895.74,53468,55959.0
243,2210.0,10042214010000.0,Powiat nowodworski,grand total,2002,1782.7,29635,31012.0
244,2211.0,10042214011000.0,Powiat pucki,grand total,2002,1889.24,75072,60088.0
245,2212.0,10042214112000.0,Powiat słupski,grand total,2002,1662.73,82381,78758.0
246,2213.0,10042214213000.0,Powiat starogardzki,grand total,2002,2013.14,106157,102810.0
247,2214.0,10042214214000.0,Powiat tczewski,grand total,2002,1983.91,95979,96662.0
248,2215.0,10042214015000.0,Powiat wejherowski,grand total,2002,1859.51,186420,145692.0
249,2216.0,10042214216000.0,Powiat sztumski,grand total,2002,1676.72,33963,35569.0
250,2261.0,10042214361000.0,Powiat m. Gdańsk,grand total,2002,2491.47,425120,438480.0
251,2262.0,10042214362000.0,Powiat m. Gdynia,grand total,2002,2423.41,216211,239012.0
252,2263.0,10042214163000.0,Powiat m. Słupsk,grand total,2002,1977.03,77817,91619.0
253,2264.0,10042214364000.0,Powiat m. Sopot,grand total,2002,2496.1,29764,42320.0
254,2401.0,10012415001000.0,Powiat będziński,grand total,2002,1970.8,129553,146610.0
255,2402.0,10012414402000.0,Powiat bielski,grand total,2002,1882.08,140495,131664.0
256,2403.0,10012414403000.0,Powiat cieszyński,grand total,2002,1863.71,151326,151763.0
257,2404.0,10012414604000.0,Powiat częstochowski,grand total,2002,1645.75,116162,124100.0
258,2405.0,10012414705000.0,Powiat gliwicki,grand total,2002,1854.22,97669,105247.0
259,2406.0,10012414606000.0,Powiat kłobucki,grand total,2002,1559.79,72448,77172.0
260,2407.0,10012414507000.0,Powiat lubliniecki,grand total,2002,1804.28,65438,68513.0
261,2408.0,10012415108000.0,Powiat mikołowski,grand total,2002,2158.84,84203,81116.0
262,2409.0,10012414609000.0,Powiat myszkowski,grand total,2002,1587.13,60529,67560.0
263,2410.0,10012415110000.0,Powiat pszczyński,grand total,2002,1848.17,93124,88033.0
264,2411.0,10012414911000.0,Powiat raciborski,grand total,2002,1819.99,89022,102453.0
265,2412.0,10012414912000.0,Powiat rybnicki,grand total,2002,1976.41,65086,64592.0
266,2413.0,10012414513000.0,Powiat tarnogórski,grand total,2002,1816.78,120386,127563.0
267,2414.0,10012415114000.0,Powiat bieruńsko-lędziński,grand total,2002,1909.2,50174,48270.0
268,2415.0,10012414915000.0,Powiat wodzisławski,grand total,2002,1688.32,131576,139000.0
269,2416.0,10012415016000.0,Powiat zawierciański,grand total,2002,1859.17,101211,119243.0
270,2417.0,10012414417000.0,Powiat żywiecki,grand total,2002,2264.56,129231,132901.0
271,2461.0,10012414461000.0,Powiat m. Bielsko-Biała,grand total,2002,2123.64,147605,165659.0
272,2462.0,10012414562000.0,Powiat m. Bytom,grand total,2002,2278.72,135135,176978.0
273,2463.0,10012414863000.0,Powiat m. Chorzów,grand total,2002,1897.22,91247,109119.0
274,2464.0,10012414664000.0,Powiat m. Częstochowa,grand total,2002,1965.93,189797,238261.0
275,2465.0,10012415065000.0,Powiat m. Dąbrowa Górnicza,grand total,2002,2348.19,103365,124537.0
276,2466.0,10012414766000.0,Powiat m. Gliwice,grand total,2002,2611.36,152919,189553.0
277,2467.0,10012414967000.0,Powiat m. Jastrzębie-Zdrój,grand total,2002,3063.62,74526,82417.0
278,2468.0,10012415068000.0,Powiat m. Jaworzno,grand total,2002,2372.25,78075,88384.0
279,2469.0,10012414869000.0,Powiat m. Katowice,grand total,2002,2707.36,254105,307855.0
280,2470.0,10012414870000.0,Powiat m. Mysłowice,grand total,2002,1797.41,62628,68051.0
281,2471.0,10012414571000.0,Powiat m. Piekary Śląskie,grand total,2002,2488.83,46502,55998.0
282,2472.0,10012414872000.0,Powiat m. Ruda Śląska,grand total,2002,2755.98,116165,134789.0
283,2473.0,10012414973000.0,Powiat m. Rybnik,grand total,2002,2814.53,115752,127437.0
284,2474.0,10012414874000.0,Powiat m. Siemianowice Śląskie,grand total,2002,1946.03,56672,68301.0
285,2475.0,10012415075000.0,Powiat m. Sosnowiec,grand total,2002,2007.92,173106,220204.0
286,2476.0,10012414876000.0,Powiat m. Świętochłowice,grand total,2002,1922.12,40709,51318.0
287,2477.0,10012415177000.0,Powiat m. Tychy,grand total,2002,2893.06,108205,120677.0
288,2478.0,10012414778000.0,Powiat m. Zabrze,grand total,2002,2080.43,139369,176827.0
289,2479.0,10012414979000.0,Powiat m. Żory,grand total,2002,1719.84,52919,54965.0
290,2601.0,10052615301000.0,Powiat buski,grand total,2002,1760.13,61235,71582.0
291,2602.0,10052615302000.0,Powiat jędrzejowski,grand total,2002,1963.38,72269,84273.0
292,2603.0,10052615303000.0,Powiat kazimierski,grand total,2002,1678.81,28954,35036.0
293,2604.0,10052615204000.0,Powiat kielecki,grand total,2002,1905.11,181073,171135.0
294,2605.0,10052615205000.0,Powiat konecki,grand total,2002,1719.75,67551,78876.0
295,2606.0,10052615306000.0,Powiat opatowski,grand total,2002,2150.44,44147,54511.0
296,2607.0,10052615207000.0,Powiat ostrowiecki,grand total,2002,1771.96,92541,109077.0
297,2608.0,10052615308000.0,Powiat pińczowski,grand total,2002,2446.79,33219,40563.0
298,2609.0,10052615309000.0,Powiat sandomierski,grand total,2002,1942.91,65454,76195.0
299,2610.0,10052615210000.0,Powiat skarżyski,grand total,2002,1851.74,63384,76241.0
300,2611.0,10052615211000.0,Powiat starachowicki,grand total,2002,1683.31,76217,88401.0
301,2612.0,10052615312000.0,Powiat staszowski,grand total,2002,2132.22,60934,67726.0
302,2613.0,10052615313000.0,Powiat włoszczowski,grand total,2002,1923.14,38323,43839.0
303,2661.0,10052615261000.0,Powiat m. Kielce,grand total,2002,2154.27,164442,197090.0
304,2801.0,10042815601000.0,Powiat bartoszycki,grand total,2002,1772.12,47499,54660.0
305,2802.0,10042815402000.0,Powiat braniewski,grand total,2002,1750.16,33539,38180.0
